전철역코드,전철역명,호선,외부코드
1916,소요산,1,100
1915,동두천,1,101
1914,보산,1,102
1913,동두천중앙,1,103
1912,지행,1,104
1911,덕정,1,105
1910,덕계,1,106
1909,양주,1,107
1908,녹양,1,108
1907,가능,1,109
1906,의정부,1,110
1905,회룡,1,111
1904,망월사,1,112
1903,도봉산,1,113
1902,도봉,1,114
1901,방학,1,115
1022,창동,1,116
1021,녹천,1,117
1020,월계,1,118
1019,광운대,1,119
1018,석계,1,120
1017,신이문,1,121
1016,외대앞,1,122
1015,회기,1,123
158,청량리,1,124
157,제기동,1,125
156,신설동,1,126
159,동묘앞,1,127
155,동대문,1,128
154,종로5가,1,129
153,종로3가,1,130
152,종각,1,131
151,시청,1,132
150,서울역,1,133
1002,남영,1,134
1003,용산,1,135
1004,노량진,1,136
1005,대방,1,137
1032,신길,1,138
1006,영등포,1,139
1007,신도림,1,140
1701,구로,1,141
1813,구일,1,142
1801,개봉,1,143
1802,오류동,1,144
1821,온수,1,145
1803,역곡,1,146
1814,소사,1,147
1804,부천,1,148
1822,중동,1,149
1805,송내,1,150
1815,부개,1,151
1806,부평,1,152
1807,백운,1,153
1808,동암,1,154
1816,간석,1,155
1809,주안,1,156
1823,도화,1,157
1810,제물포,1,158
1817,도원,1,159
1811,동인천,1,160
1812,인천,1,161
201,시청,2,201
202,을지로입구,2,202
203,을지로3가,2,203
204,을지로4가,2,204
205,동대문역사문화공원,2,205
206,신당,2,206
207,상왕십리,2,207
208,왕십리,2,208
209,한양대,2,209
210,뚝섬,2,210
211,성수,2,211
212,건대입구,2,212
213,구의,2,213
214,강변,2,214
215,잠실나루,2,215
216,잠실,2,216
217,잠실새내,2,217
218,종합운동장,2,218
219,삼성,2,219
220,선릉,2,220
221,역삼,2,221
222,강남,2,222
223,교대,2,223
224,서초,2,224
225,방배,2,225
226,사당,2,226
227,낙성대,2,227
228,서울대입구,2,228
229,봉천,2,229
230,신림,2,230
231,신대방,2,231
232,구로디지털단지,2,232
233,대림,2,233
234,신도림,2,234
235,문래,2,235
236,영등포구청,2,236
237,당산,2,237
238,합정,2,238
239,홍대입구,2,239
240,신촌,2,240
241,이대,2,241
242,아현,2,242
243,충정로,2,243
1958,대화,3,309
1957,주엽,3,310
1956,정발산,3,311
1955,마두,3,312
1954,백석,3,313
1953,대곡,3,314
1952,화정,3,315
1951,원당,3,316
1948,원흥,3,317
1950,삼송,3,318
309,지축,3,319
310,구파발,3,320
311,연신내,3,321
312,불광,3,322
313,녹번,3,323
314,홍제,3,324
315,무악재,3,325
316,독립문,3,326
317,경복궁,3,327
318,안국,3,328
319,종로3가,3,329
320,을지로3가,3,330
321,충무로,3,331
322,동대입구,3,332
323,약수,3,333
324,금호,3,334
325,옥수,3,335
326,압구정,3,336
327,신사,3,337
328,잠원,3,338
329,고속터미널,3,339
330,교대,3,340
331,남부터미널,3,341
332,양재,3,342
333,매봉,3,343
334,도곡,3,344
335,대치,3,345
336,학여울,3,346
337,대청,3,347
338,일원,3,348
339,수서,3,349
340,가락시장,3,350
341,경찰병원,3,351
342,오금,3,352
405,진접,4,405
406,오남,4,406
408,별내별가람,4,408
409,불암산,4,409
410,상계,4,410
411,노원,4,411
412,창동,4,412
413,쌍문,4,413
414,수유,4,414
415,미아,4,415
416,미아사거리,4,416
417,길음,4,417
418,성신여대입구,4,418
419,한성대입구,4,419
420,혜화,4,420
421,동대문,4,421
422,동대문역사문화공원,4,422
423,충무로,4,423
424,명동,4,424
425,회현,4,425
426,서울역,4,426
427,숙대입구,4,427
428,삼각지,4,428
429,신용산,4,429
430,이촌,4,430
431,동작,4,431
432,총신대입구,4,432
433,사당,4,433
434,남태령,4,434
1450,선바위,4,435
1451,경마공원,4,436
1452,대공원,4,437
1453,과천,4,438
1454,정부과천청사,4,439
1455,인덕원,4,440
1456,평촌,4,441
1457,범계,4,442
1458,금정,4,443
1751,산본,4,444
1763,수리산,4,445
1752,대야미,4,446
1753,반월,4,447
1754,상록수,4,448
1755,한대앞,4,449
1756,중앙,4,450
1757,고잔,4,451
1758,초지,4,452
1759,안산,4,453
1760,신길온천,4,454
1761,정왕,4,455
1762,오이도,4,456
2511,방화,5,510
2512,개화산,5,511
2513,김포공항,5,512
2514,송정,5,513
2515,마곡,5,514
2516,발산,5,515
2517,우장산,5,516
2518,화곡,5,517
2519,까치산,5,518
2520,신정,5,519
2521,목동,5,520
2522,오목교,5,521
2523,양평,5,522
2524,영등포구청,5,523
2525,영등포시장,5,524
2526,신길,5,525
2527,여의도,5,526
2528,여의나루,5,527
2529,마포,5,528
2530,공덕,5,529
2531,애오개,5,530
2532,충정로,5,531
2533,서대문,5,532
2534,광화문,5,533
2535,종로3가,5,534
2536,을지로4가,5,535
2537,동대문역사문화공원,5,536
2538,청구,5,537
2539,신금호,5,538
2540,행당,5,539
2541,왕십리,5,540
2542,마장,5,541
2543,답십리,5,542
2544,장한평,5,543
2545,군자,5,544
2546,아차산,5,545
2547,광나루,5,546
2548,천호,5,547
2549,강동,5,548
2550,길동,5,549
2551,굽은다리,5,550
2552,명일,5,551
2553,고덕,5,552
2554,상일동,5,553
2562,강일,5,554
2563,미사,5,555
2564,하남풍산,5,556
2565,하남시청,5,557
2566,하남검단산,5,558
2611,응암,6,610
2612,역촌,6,611
2613,불광,6,612
2614,독바위,6,613
2615,연신내,6,614
2616,구산,6,615
2617,새절,6,616
2618,증산,6,617
2619,디지털미디어시티,6,618
2620,월드컵경기장,6,619
2621,마포구청,6,620
2622,망원,6,621
